TABLE_NAME	TABLE_ROWS
activity_logs	107
appointments	0
assignment_applications	0
assignment_files	2
assignment_message_reads	0
assignment_messages	25
assignment_requests	6
assignment_submissions	0
consultant_earnings	0
consultant_payment_status	0
contact_messages	0
direct_messages	0
doctor_about_me	1
donation_inquiries	0
expense_audit_log	0
expenses	0
file_comments	0
hero_images	3
message_replies	0
messages	0
partnerships	0
password_change_requests	0
payment_records	1
payment_settings	0
ratings	2
research_data_entries	2
research_posts	2
research_project_assignments	0
research_projects	5
research_reports	5
research_resources	8
research_submissions	4
researcher_notifications	0
site_settings	4
statistics	1
study_materials	0
team_applications	0
team_members	3
team_payment_status	0
team_photos	6
testimonials	2
transactions	0
user_profiles	2
users	8
